Question,Options,OptionsWithCorrect,CorrectOptions,Tags
"[Cybersecurity] <span style=""display:none;"">QID:MC-011</span> Which is a characteristic of sophisticated attacks?","<li>A. Limited to physical devices</li><li>B. Using common internet tools</li><li>C. Requiring user interaction</li><li>D. Slow propagation speed</li>","<li>A. Limited to physical devices</li><li class=""correct"">B. Using common internet tools</li><li>C. Requiring user interaction</li><li>D. Slow propagation speed</li>","B<hr>Why correct: Sophisticated attacks use common internet tools to blend with legitimate traffic, making them hard to detect.<br>Why incorrect: Limited to physical devices applies to physical controls, not attacks; requiring user interaction is typical of older attacks, not modern sophisticated ones; slow propagation speed contradicts the rapid scale of modern attacks.<br>Rationale: Tests recall of a key characteristic of sophisticated attacks.<br>Metadata: Single-correct<br>Source: Section::1.1.3","Section::1.1.3 cybersecurity sophisticated-attacks multiple-choice instance-1"
"[Cybersecurity] <span style=""display:none;"">QID:MC-012</span> Which is a characteristic of sophisticated attacks?","<li>A. Using common internet tools</li><li>B. Restricted to local networks</li><li>C. Dependent on manual execution</li><li>D. Predictable attack patterns</li>","<li class=""correct"">A. Using common internet tools</li><li>B. Restricted to local networks</li><li>C. Dependent on manual execution</li><li>D. Predictable attack patterns</li>","A<hr>Why correct: Sophisticated attacks use common internet tools to blend with legitimate traffic, making them hard to detect.<br>Why incorrect: Restricted to local networks limits attack scope, unlike internet-based sophisticated attacks; dependent on manual execution applies to less automated attacks; predictable attack patterns contradict their variable behavior.<br>Rationale: Tests recall of a key characteristic of sophisticated attacks.<br>Metadata: Single-correct<br>Source: Section::1.1.3","Section::1.1.3 cybersecurity sophisticated-attacks multiple-choice instance-2"
"[Cybersecurity] <span style=""display:none;"">QID:MC-013</span> Which is a characteristic of sophisticated attacks?","<li>A. Fixed attack signatures</li><li>B. Requiring physical access</li><li>C. Using common internet tools</li><li>D. Limited to single devices</li>","<li>A. Fixed attack signatures</li><li>B. Requiring physical access</li><li class=""correct"">C. Using common internet tools</li><li>D. Limited to single devices</li>","C<hr>Why correct: Sophisticated attacks use common internet tools to blend with legitimate traffic, making them hard to detect.<br>Why incorrect: Fixed attack signatures contradict their variable behavior; requiring physical access relates to physical controls, not internet-based attacks; limited to single devices contradicts their large-scale impact.<br>Rationale: Tests recall of a key characteristic of sophisticated attacks.<br>Metadata: Single-correct<br>Source: Section::1.1.3","Section::1.1.3 cybersecurity sophisticated-attacks multiple-choice instance-3"
"[Cybersecurity] <span style=""display:none;"">QID:MC-017</span> What is the primary role of a Computer Incident Response Team (CIRT)?","<li>A. Developing security software</li><li>B. Handling security incident notifications</li><li>C. Conducting employee training</li><li>D. Monitoring network traffic</li>","<li>A. Developing security software</li><li class=""correct"">B. Handling security incident notifications</li><li>C. Conducting employee training</li><li>D. Monitoring network traffic</li>","B<hr>Why correct: A CIRT serves as a single point of contact for the notification of security incidents.<br>Why incorrect: Developing security software is a developer role; conducting employee training is an HR or training function; monitoring network traffic is typically an SOC responsibility.<br>Rationale: Tests recall of the CIRT’s core role.<br>Metadata: Single-correct<br>Source: Section::1.1.3","Section::1.1.3 cybersecurity cirt multiple-choice instance-1"
"[Cybersecurity] <span style=""display:none;"">QID:MC-018</span> What is the primary role of a Computer Incident Response Team (CIRT)?","<li>A. Managing user access controls</li><li>B. Auditing compliance requirements</li><li>C. Handling security incident notifications</li><li>D. Configuring firewalls</li>","<li>A. Managing user access controls</li><li>B. Auditing compliance requirements</li><li class=""correct"">C. Handling security incident notifications</li><li>D. Configuring firewalls</li>","C<hr>Why correct: A CIRT serves as a single point of contact for the notification of security incidents.<br>Why incorrect: Managing user access controls is an administrative task; auditing compliance requirements is a governance function; configuring firewalls is a technical control task.<br>Rationale: Tests recall of the CIRT’s core role.<br>Metadata: Single-correct<br>Source: Section::1.1.3","Section::1.1.3 cybersecurity cirt multiple-choice instance-2"
"[Cybersecurity] <span style=""display:none;"">QID:MC-019</span> What is the primary role of a Computer Incident Response Team (CIRT)?","<li>A. Handling security incident notifications</li><li>B. Designing network architecture</li><li>C. Performing risk assessments</li><li>D. Developing training programs</li>","<li class=""correct"">A. Handling security incident notifications</li><li>B. Designing network architecture</li><li>C. Performing risk assessments</li><li>D. Developing training programs</li>","A<hr>Why correct: A CIRT serves as a single point of contact for the notification of security incidents.<br>Why incorrect: Designing network architecture is a network engineering task; performing risk assessments is a broader security role; developing training programs is an HR or training function.<br>Rationale: Tests recall of the CIRT’s core role.<br>Metadata: Single-correct<br>Source: Section::1.1.3","Section::1.1.3 cybersecurity cirt multiple-choice instance-3"
"[Cybersecurity] <span style=""display:none;"">QID:MC-020</span> What does the ""shift left"" principle in DevSecOps emphasize?","<li>A. Delaying security until deployment</li><li>B. Integrating security in early development stages</li><li>C. Focusing on post-incident recovery</li><li>D. Automating network monitoring</li>","<li>A. Delaying security until deployment</li><li class=""correct"">B. Integrating security in early development stages</li><li>C. Focusing on post-incident recovery</li><li>D. Automating network monitoring</li>","B<hr>Why correct: The ""shift left"" principle in DevSecOps emphasizes integrating security during the requirements and planning phases of development.<br>Why incorrect: Delaying security until deployment contradicts shift left; focusing on post-incident recovery is a corrective function; automating network monitoring is an SOC task, not specific to DevSecOps.<br>Rationale: Tests recall of the shift left principle in DevSecOps.<br>Metadata: Single-correct<br>Source: Section::1.1.3","Section::1.1.3 cybersecurity devsecops multiple-choice instance-1"
"[Cybersecurity] <span style=""display:none;"">QID:MC-021</span> What does the ""shift left"" principle in DevSecOps emphasize?","<li>A. Prioritizing compliance audits</li><li>B. Conducting security after testing</li><li>C. Integrating security in early development stages</li><li>D. Centralizing incident response</li>","<li>A. Prioritizing compliance audits</li><li>B. Conducting security after testing</li><li class=""correct"">C. Integrating security in early development stages</li><li>D. Centralizing incident response</li>","C<hr>Why correct: The ""shift left"" principle in DevSecOps emphasizes integrating security during the requirements and planning phases of development.<br>Why incorrect: Prioritizing compliance audits is a governance task; conducting security after testing contradicts shift left; centralizing incident response is a CIRT function.<br>Rationale: Tests recall of the shift left principle in DevSecOps.<br>Metadata: Single-correct<br>Source: Section::1.1.3","Section::1.1.3 cybersecurity devsecops multiple-choice instance-2"
"[Cybersecurity] <span style=""display:none;"">QID:MC-022</span> What does the ""shift left"" principle in DevSecOps emphasize?","<li>A. Integrating security in early development stages</li><li>B. Focusing on physical security controls</li><li>C. Automating user access management</li><li>D. Delaying security until production</li>","<li class=""correct"">A. Integrating security in early development stages</li><li>B. Focusing on physical security controls</li><li>C. Automating user access management</li><li>D. Delaying security until production</li>","A<hr>Why correct: The ""shift left"" principle in DevSecOps emphasizes integrating security during the requirements and planning phases of development.<br>Why incorrect: Focusing on physical security controls relates to implementation categories; automating user access management is an administrative task; delaying security until production contradicts shift left.<br>Rationale: Tests recall of the shift left principle in DevSecOps.<br>Metadata: Single-correct<br>Source: Section::1.1.3","Section::1.1.3 cybersecurity devsecops multiple-choice instance-3"
"[Cybersecurity] <span style=""display:none;"">QID:MC-026</span> Which activity do security professionals perform to address security incidents?","<li>A. Managing security-related incident response</li><li>B. Developing financial budgets</li><li>C. Conducting market analysis</li><li>D. Designing user interfaces</li>","<li class=""correct"">A. Managing security-related incident response</li><li>B. Developing financial budgets</li><li>C. Conducting market analysis</li><li>D. Designing user interfaces</li>","A<hr>Why correct: Security professionals manage security-related incident response and reporting to address incidents effectively.<br>Why incorrect: Developing financial budgets, conducting market analysis, and designing user interfaces are unrelated to security roles.<br>Rationale: Tests recall of a key security professional activity for incident management.<br>Metadata: Single-correct<br>Source: Section::1.1.3","Section::1.1.3 cybersecurity security-roles multiple-choice instance-1"
