Question,Options,OptionsWithCorrect,CorrectOptions,Tags
"[Cybersecurity] <span style=""display:none;"">QID:MC-001</span> What is the role of a Security Operations Center (SOC)?","<li>A. Monitor and protect information assets</li><li>B. Develop software</li><li>C. Conduct employee training</li><li>D. Sell cybersecurity tools</li>","<li class=""correct"">A. Monitor and protect information assets</li><li>B. Develop software</li><li>C. Conduct employee training</li><li>D. Sell cybersecurity tools</li>","A<hr>Why correct: A Security Operations Center (SOC) continuously oversees an organization’s IT environment to detect, analyze, and respond to cyber threats, ensuring the confidentiality, integrity, and availability of critical data.<br>Why incorrect: B is DevOps; C is HR; D is vendor role<br>Rationale: Tests SOC role<br>Metadata: Single-correct<br>Source: Section::1.1","Section::1.1 cybersecurity soc multiple-choice instance-1"
"[Cybersecurity] <span style=""display:none;"">QID:MC-002</span> What is the role of a Security Operations Center (SOC)?","<li>A. Develop software</li><li>B. Monitor and protect critical assets</li><li>C. Manage payroll</li><li>D. Develop marketing campaigns</li>","<li>A. Develop software</li><li class=""correct"">B. Monitor and protect critical assets</li><li>C. Manage payroll</li><li>D. Develop marketing campaigns</li>","B<hr>Why correct: A SOC operates as a centralized hub where security professionals use tools to monitor network activity, detect potential breaches, and implement measures to safeguard sensitive information.<br>Why incorrect: A is DevOps; C is finance; D is marketing<br>Rationale: Tests SOC role<br>Metadata: Single-correct<br>Source: Section::1.1","Section::1.1 cybersecurity soc multiple-choice instance-2"
"[Cybersecurity] <span style=""display:none;"">QID:MC-003</span> What is the role of a Security Operations Center (SOC)?","<li>A. Conduct employee training</li><li>B. Upgrade server hardware</li><li>C. Monitor and secure information assets</li><li>D. Design websites</li>","<li>A. Conduct employee training</li><li>B. Upgrade server hardware</li><li class=""correct"">C. Monitor and secure information assets</li><li>D. Design websites</li>","C<hr>Why correct: The SOC’s purpose is to provide real-time surveillance of an organization’s digital infrastructure, identifying and mitigating security incidents to protect data and systems.<br>Why incorrect: A is HR; B is IT maintenance; D is web design<br>Rationale: Tests SOC role<br>Metadata: Single-correct<br>Source: Section::1.1","Section::1.1 cybersecurity soc multiple-choice instance-3"
"[Cybersecurity] <span style=""display:none;"">QID:MC-004</span> What is the role of a Security Operations Center (SOC)?","<li>A. Perform audits</li><li>B. Conduct employee training</li><li>C. Manage budgets</li><li>D. Monitor and protect information assets</li>","<li>A. Perform audits</li><li>B. Conduct employee training</li><li>C. Manage budgets</li><li class=""correct"">D. Monitor and protect information assets</li>","D<hr>Why correct: The SOC is tasked with ongoing monitoring of network traffic and implementing security measures to prevent unauthorized access and data breaches.<br>Why incorrect: A is auditing; B is HR; C is finance<br>Rationale: Tests SOC role<br>Metadata: Single-correct<br>Source: Section::1.1","Section::1.1 cybersecurity soc multiple-choice instance-4"
"[Cybersecurity] <span style=""display:none;"">QID:MC-005</span> Which disciplines does DevSecOps integrate? (CHOOSE THREE)","<li>A. Software development</li><li>B. Customer support</li><li>C. Security operations</li><li>D. Hardware manufacturing</li><li>E. Systems operations</li><li>F. Financial planning</li><li>G. Quality assurance</li>","<li class=""correct"">A. Software development</li><li>B. Customer support</li><li class=""correct"">C. Security operations</li><li>D. Hardware manufacturing</li><li class=""correct"">E. Systems operations</li><li>F. Financial planning</li><li>G. Quality assurance</li>","A,C,E<hr>Why correct: DevSecOps integrates software development (coding applications), security operations (implementing cybersecurity measures), and systems operations (managing IT infrastructure) to embed security throughout the development lifecycle.<br>Why incorrect: B is support; D is manufacturing; F is finance; G is QA<br>Rationale: Tests DevSecOps components<br>Metadata: Multiple-correct<br>Source: Section::1.1","Section::1.1 cybersecurity devsecops multiple-choice instance-1 multiple-correct"
"[Cybersecurity] <span style=""display:none;"">QID:MC-006</span> Which disciplines does DevSecOps integrate? (CHOOSE THREE)","<li>A. Marketing</li><li>B. Software development</li><li>C. Systems operations</li><li>D. Security operations</li><li>E. Data analytics</li><li>F. Procurement</li><li>G. Employee training</li>","<li>A. Marketing</li><li class=""correct"">B. Software development</li><li class=""correct"">C. Systems operations</li><li class=""correct"">D. Security operations</li><li>E. Data analytics</li><li>F. Procurement</li><li>G. Employee training</li>","B,C,D<hr>Why correct: DevSecOps combines software development (building applications), security operations (ensuring secure practices), and systems operations (maintaining infrastructure) to enhance system resilience.<br>Why incorrect: A is marketing; E is data science; F is logistics; G is HR<br>Rationale: Tests DevSecOps components<br>Metadata: Multiple-correct<br>Source: Section::1.1","Section::1.1 cybersecurity devsecops multiple-choice instance-2 multiple-correct"
"[Cybersecurity] <span style=""display:none;"">QID:MC-007</span> Which disciplines does DevSecOps integrate? (CHOOSE THREE)","<li>A. Financial planning</li><li>B. Security operations</li><li>C. Employee training</li><li>D. Software development</li><li>E. Systems operations</li><li>F. Market research</li><li>G. Inventory management</li>","<li>A. Financial planning</li><li class=""correct"">B. Security operations</li><li>C. Employee training</li><li class=""correct"">D. Software development</li><li class=""correct"">E. Systems operations</li><li>F. Market research</li><li>G. Inventory management</li>","B,D,E<hr>Why correct: DevSecOps unites software development (application creation), security operations (cybersecurity integration), and systems operations (infrastructure management) to create a secure development framework.<br>Why incorrect: A is finance; C is HR; F is marketing; G is logistics<br>Rationale: Tests DevSecOps components<br>Metadata: Multiple-correct<br>Source: Section::1.1","Section::1.1 cybersecurity devsecops multiple-choice instance-3 multiple-correct"
"[Cybersecurity] <span style=""display:none;"">QID:MC-008</span> Which disciplines does DevSecOps integrate? (CHOOSE THREE)","<li>A. Vendor management</li><li>B. Data analytics</li><li>C. Security operations</li><li>D. Customer support</li><li>E. Software development</li><li>F. Systems operations</li><li>G. Advertising</li>","<li>A. Vendor management</li><li>B. Data analytics</li><li class=""correct"">C. Security operations</li><li>D. Customer support</li><li class=""correct"">E. Software development</li><li class=""correct"">F. Systems operations</li><li>G. Advertising</li>","C,E,F<hr>Why correct: DevSecOps integrates software development (coding), security operations (security practices), and systems operations (system management) to ensure security is a core part of the lifecycle.<br>Why incorrect: A is procurement; B is data science; D is support; G is marketing<br>Rationale: Tests DevSecOps components<br>Metadata: Multiple-correct<br>Source: Section::1.1","Section::1.1 cybersecurity devsecops multiple-choice instance-4 multiple-correct"
"[Cybersecurity] <span style=""display:none;"">QID:MC-009</span> Which is a security control category? (CHOOSE ONE)","<li>A. Technical safeguard measures</li><li>B. Incident-response workflow team</li><li>C. Vendor-provided security toolkit</li><li>D. Compliance-review steering committee</li>","<li class=""correct"">A. Technical safeguard measures</li><li>B. Incident-response workflow team</li><li>C. Vendor-provided security toolkit</li><li>D. Compliance-review steering committee</li>","A<hr>Why correct: Technical safeguard measures use technology, such as firewalls or encryption, to protect systems and data from cyber threats.<br>Why incorrect: B, C, D are cybersecurity groups or tools, not control categories.<br>Rationale: Tests control categories<br>Metadata: Single-correct<br>Source: Section::1.1","Section::1.1 cybersecurity controls multiple-choice instance-1"
"[Cybersecurity] <span style=""display:none;"">QID:MC-010</span> Which is a security control category? (CHOOSE ONE)","<li>A. Centralized monitoring operations center</li><li>B. Operational policy and procedure sets</li><li>C. Simulated-attack validation crew</li><li>D. Quantitative risk-scoring council</li>","<li>A. Centralized monitoring operations center</li><li class=""correct"">B. Operational policy and procedure sets</li><li>C. Simulated-attack validation crew</li><li>D. Quantitative risk-scoring council</li>","B<hr>Why correct: Operational policy and procedure sets involve processes, like security training or incident response plans, to maintain system security.<br>Why incorrect: A, C, D are cybersecurity groups or operations, not control categories.<br>Rationale: Tests control categories<br>Metadata: Single-correct<br>Source: Section::1.1","Section::1.1 cybersecurity controls multiple-choice instance-2"
"[Cybersecurity] <span style=""display:none;"">QID:MC-011</span> Which are security control categories? (CHOOSE TWO)","<li>A. Physical access restriction mechanisms</li><li>B. Asset-class inventory squad</li><li>C. Managerial governance framework</li><li>D. External-audit oversight panel</li><li>E. Crisis-mitigation task force</li>","<li class=""correct"">A. Physical access restriction mechanisms</li><li>B. Asset-class inventory squad</li><li class=""correct"">C. Managerial governance framework</li><li>D. External-audit oversight panel</li><li>E. Crisis-mitigation task force</li>","A,C<hr>Why correct: Physical access restriction mechanisms, like locks or guards, protect assets; Managerial governance framework, like risk assessments, guides security strategy.<br>Why incorrect: B, D, E are cybersecurity groups, not control categories.<br>Rationale: Tests control categories<br>Metadata: Multiple-correct<br>Source: Section::1.1","Section::1.1 cybersecurity controls multiple-choice instance-3 multiple-correct"
"[Cybersecurity] <span style=""display:none;"">QID:MC-012</span> Which are security control categories? (CHOOSE TWO)","<li>A. Employee-awareness training unit</li><li>B. Technology-based defensive controls</li><li>C. Perimeter-hardware maintenance group</li><li>D. Physical access restriction systems</li><li>E. Cryptographic protocol design lab</li>","<li>A. Employee-awareness training unit</li><li class=""correct"">B. Technology-based defensive controls</li><li>C. Perimeter-hardware maintenance group</li><li class=""correct"">D. Physical access restriction systems</li><li>E. Cryptographic protocol design lab</li>","B,D<hr>Why correct: Technology-based defensive controls use technology, like encryption, to secure systems; Physical access restriction systems, like access badges or locks, prevent physical breaches.<br>Why incorrect: A, C, E are cybersecurity groups, not control categories.<br>Rationale: Tests control categories<br>Metadata: Multiple-correct<br>Source: Section::1.1","Section::1.1 cybersecurity controls multiple-choice instance-4 multiple-correct"
"[Cybersecurity] <span style=""display:none;"">QID:MC-013</span> Which are principles of the CIA triad? (CHOOSE THREE)","<li>A. Data confidentiality</li><li>B. User authentication</li><li>C. Information integrity</li><li>D. Access authorization</li><li>E. Identity verification</li><li>F. System availability</li><li>G. Control access management</li>","<li class=""correct"">A. Data confidentiality</li><li>B. User authentication</li><li class=""correct"">C. Information integrity</li><li>D. Access authorization</li><li>E. Identity verification</li><li class=""correct"">F. System availability</li><li>G. Control access management</li>","A,C,F<hr>Why correct: Data confidentiality protects information from unauthorized access; Information integrity ensures data accuracy and trustworthiness; System availability maintains access for authorized users.<br>Why incorrect: B, D, E, G are identity and access management concepts, not CIA principles.<br>Rationale: Tests CIA components<br>Metadata: Multiple-correct<br>Source: Section::1.2","Section::1.2 cybersecurity cia multiple-choice instance-1 multiple-correct"
"[Cybersecurity] <span style=""display:none;"">QID:MC-014</span> Which are principles of the CIA triad? (CHOOSE THREE)","<li>A. Access authorization</li><li>B. Data confidentiality</li><li>C. Control access management</li><li>D. Information integrity</li><li>E. Identity verification</li><li>F. User authentication</li><li>G. System availability</li>","<li>A. Access authorization</li><li class=""correct"">B. Data confidentiality</li><li>C. Control access management</li><li class=""correct"">D. Information integrity</li><li>E. Identity verification</li><li>F. User authentication</li><li class=""correct"">G. System availability</li>","B,D,G<hr>Why correct: Data confidentiality safeguards sensitive information; Information integrity maintains data consistency; System availability ensures system uptime for authorized users.<br>Why incorrect: A, E, F are identity-related; C is a security mechanism, not a CIA principle.<br>Rationale: Tests CIA components<br>Metadata: Multiple-correct<br>Source: Section::1.2","Section::1.2 cybersecurity cia multiple-choice instance-2 multiple-correct"
"[Cybersecurity] <span style=""display:none;"">QID:MC-015</span> Which are principles of the CIA triad? (CHOOSE THREE)","<li>A. System availability</li><li>B. User authentication</li><li>C. Access control enforcement</li><li>D. Identity verification</li><li>E. Information integrity</li><li>F. Data confidentiality</li><li>G. Access authorization</li>","<li class=""correct"">A. System availability</li><li>B. User authentication</li><li>C. Access control enforcement</li><li>D. Identity verification</li><li class=""correct"">E. Information integrity</li><li class=""correct"">F. Data confidentiality</li><li>G. Access authorization</li>","A,E,F<hr>Why correct: Data confidentiality restricts data access to authorized users; Information integrity prevents unauthorized data modification; System availability ensures resources are accessible when needed.<br>Why incorrect: B, D, G are identity-related; C is a security practice, not a CIA principle.<br>Rationale: Tests CIA components<br>Metadata: Multiple-correct<br>Source: Section::1.2","Section::1.2 cybersecurity cia multiple-choice instance-3 multiple-correct"
"[Cybersecurity] <span style=""display:none;"">QID:MC-016</span> Which are principles of the CIA triad? (CHOOSE THREE)","<li>A. Identity verification</li><li>B. Data confidentiality</li><li>C. System availability</li><li>D. User authentication</li><li>E. Access control management</li><li>F. Access authorization</li><li>G. Information integrity</li>","<li>A. Identity verification</li><li class=""correct"">B. Data confidentiality</li><li class=""correct"">C. System availability</li><li>D. User authentication</li><li>E. Access control management</li><li>F. Access authorization</li><li class=""correct"">G. Information integrity</li>","B,C,G<hr>Why correct: Data confidentiality protects sensitive data; Information integrity ensures data reliability; System availability maintains access for authorized users.<br>Why incorrect: A, D, F are identity management concepts; E is a security mechanism, not a CIA principle.<br>Rationale: Tests CIA components<br>Metadata: Multiple-correct<br>Source: Section::1.2","Section::1.2 cybersecurity cia multiple-choice instance-4 multiple-correct"
"[Cybersecurity] <span style=""display:none;"">QID:MC-017</span> Which is a common threat actor?","<li>A. Nation-state</li><li>B. Incident response team</li><li>C. Security vendor group</li><li>D. Compliance audit team</li>","<li class=""correct"">A. Nation-state</li><li>B. Incident response team</li><li>C. Security vendor group</li><li>D. Compliance audit team</li>","A<hr>Why correct: Nation-state actors are government-backed entities conducting cyberattacks for strategic objectives, such as espionage or infrastructure disruption.<br>Why incorrect: B, C, D are legitimate cybersecurity groups, not threat actors.<br>Rationale: Tests threat actor recall<br>Metadata: Single-correct<br>Source: Section::2.1","Section::2.1 cybersecurity threat-actors multiple-choice instance-1"
