Front,Back,Tags
"[Cybersecurity] What are the categories of security controls?","Managerial, operational, technical, physical.<hr>Metadata: Concept question<br>Rationale: Tests recall of the four primary categories of security controls as foundational classification<br>Reference: Section::1.2","Section::1.2 cybersecurity security-controls open-ended"
"[Cybersecurity] A company uses access control lists to restrict network access. This is an example of what type of security control?","Preventive<hr>Metadata: Scenario question<br>Rationale: Tests application of preventive control definition through a scenario involving access restriction<br>Reference: Section::1.2","Section::1.2 cybersecurity security-controls open-ended"
"[Cybersecurity] A company implements a policy to enforce password complexity. This is an example of what type of security control?","Directive<hr>Metadata: Scenario question<br>Rationale: Tests application of directive control definition through a scenario involving behavioral policy enforcement<br>Reference: Section::1.2","Section::1.2 cybersecurity security-controls open-ended"
"[Cybersecurity] A security team deploys a backup system to restore data after a cyberattack. This is an example of what type of security control?","Corrective<hr>Metadata: Scenario question<br>Rationale: Tests application of corrective control definition through a scenario involving post-incident recovery<br>Reference: Section::1.2","Section::1.2 cybersecurity security-controls open-ended"
"[Cybersecurity] What is the purpose of preventive controls?","To eliminate or reduce the likelihood of a successful attack.<hr>Metadata: Concept question<br>Rationale: Tests recall of the core function of preventive controls as defined in the key terms<br>Reference: Section::1.2","Section::1.2 cybersecurity preventive-controls open-ended"
"[Cybersecurity] A security team reviews logs to identify unauthorized access. This is an example of what type of security control?","Detective<hr>Metadata: Scenario question<br>Rationale: Tests application of detective control definition through a scenario involving incident identification<br>Reference: Section::1.2","Section::1.2 cybersecurity security-controls open-ended"
"[Cybersecurity] A company uses redundant systems to maintain operations if a primary system fails. This is an example of what type of security control?","Compensating<hr>Metadata: Scenario question<br>Rationale: Tests application of compensating control definition through a scenario involving risk mitigation for primary control failure<br>Reference: Section::1.2","Section::1.2 cybersecurity security-controls open-ended"
"[Cybersecurity] What is the purpose of corrective controls?","To minimize the impact of an incident after it occurs.<hr>Metadata: Concept question<br>Rationale: Tests recall of the core function of corrective controls as defined in the key terms<br>Reference: Section::1.2","Section::1.2 cybersecurity security-controls open-ended"
"[Cybersecurity] What is the purpose of compensating controls?","To mitigate risk when a primary control fails.<hr>Metadata: Concept question<br>Rationale: Tests recall of the core function of compensating controls as defined in the key terms<br>Reference: Section::1.2","Section::1.2 cybersecurity security-controls open-ended"
"[Cybersecurity] A company displays a legal notice on its login screen to discourage hacking attempts. This is an example of what type of security control?","Deterrent<hr>Metadata: Scenario question<br>Rationale: Tests application of deterrent control definition through a scenario involving discouraging intrusion attempts via a legal notice<br>Reference: Section::1.2","Section::1.2 cybersecurity security-controls open-ended"
"[Cybersecurity] A security team uses encryption to protect data during transmission. This is an example of what implementation category of security control?","Technical<hr>Metadata: Scenario question<br>Rationale: Tests application of technical control category through a scenario involving system-based security measures<br>Reference: Section::1.2","Section::1.2 cybersecurity security-controls open-ended"
"[Cybersecurity] A security professional conducts regular training sessions for employees on phishing awareness. This is an example of what implementation category of security control?","Operational<hr>Metadata: Scenario question<br>Rationale: Tests application of operational control category through a scenario involving people-implemented procedures<br>Reference: Section::1.2","Section::1.2 cybersecurity security-controls open-ended"
"[Cybersecurity] A company installs security cameras to monitor a data center. This is an example of what implementation category of security control?","Physical<hr>Metadata: Scenario question<br>Rationale: Tests application of physical control category through a scenario involving hardware-based security measures<br>Reference: Section::1.2","Section::1.2 cybersecurity security-controls open-ended"
"[Cybersecurity] What is the role of access control lists (ACLs) in security?","To restrict access to resources.<hr>Metadata: Concept question<br>Rationale: Tests recall of the core purpose of access control lists in a simplified, atomic form<br>Reference: Section::1.2","Section::1.2 cybersecurity access-control open-ended"
"[Cybersecurity] A security professional sets up a visitor badge system to limit access to a facility. This is an example of what implementation category of security control?","Physical<hr>Metadata: Scenario question<br>Rationale: Tests application of physical control category through a scenario involving hardware-based access restriction<br>Reference: Section::1.2","Section::1.2 cybersecurity security-controls open-ended"
"[Cybersecurity] Who is typically responsible for the overall information assurance and systems security in an organization?","Chief Security Officer (CSO)<hr>Metadata: Concept question<br>Rationale: Tests recall of the role of the Chief Security Officer as defined in the key terms<br>Reference: Section::1.2","Section::1.2 cybersecurity security-roles open-ended"
"[Cybersecurity] A security professional develops a policy for data handling procedures. This is an example of what implementation category of security control?","Managerial<hr>Metadata: Scenario question<br>Rationale: Tests application of managerial control category through a scenario involving policy development for oversight<br>Reference: Section::1.2","Section::1.2 cybersecurity security-controls open-ended"
"[Cybersecurity] What is the primary responsibility of the Chief Information Officer (CIO) in an organization?","Managing IT assets.<hr>Metadata: Concept question<br>Rationale: Tests recall of the core role of the Chief Information Officer in a simplified, atomic form<br>Reference: Section::1.2","Section::1.2 cybersecurity security-roles open-ended"
"[Cybersecurity] What is the primary responsibility of the Chief Technology Officer (CTO) in an organization?","Effective use of new computing platforms.<hr>Metadata: Concept question<br>Rationale: Tests recall of the core role of the Chief Technology Officer in a simplified, atomic form<br>Reference: Section::1.2","Section::1.2 cybersecurity security-roles open-ended"
"[Cybersecurity] What is the primary responsibility of the Information Systems Security Officer (ISSO) in an organization?","Implementing security policies and controls.<hr>Metadata: Concept question<br>Rationale: Tests recall of the core role of the Information Systems Security Officer in a simplified, atomic form<br>Reference: Section::1.2","Section::1.2 cybersecurity security-roles open-ended"
"[Cybersecurity] A security team uses motion sensors to detect unauthorized entry in a restricted area. This is an example of what type of security control?","Detective<hr>Metadata: Scenario question<br>Rationale: Tests application of detective control definition through a scenario involving real-time detection of unauthorized physical access<br>Reference: Section::1.2","Section::1.2 cybersecurity security-controls open-ended"
