Front,Back,Tags
"[Cybersecurity] What characteristic of today's world makes understanding risks to digital information critical?","Its connected nature.<hr>Metadata: Concept question<br>Rationale: Tests recall of the specific characteristic (connected nature) that amplifies the importance of risk awareness, ensuring an atomic fact from the source text while avoiding speculative phrasing.<br>Reference: Section::2.0","Section::2.0 cybersecurity risks open-ended"
"[Cybersecurity] What is the primary goal of learning how attackers exploit system weaknesses?","To recognize dangers early.<hr>Metadata: Concept question<br>Rationale: Tests recall of the core objective of understanding attacker methods, using a concise answer to focus on proactive recognition as an atomic fact.<br>Reference: Section::2.0","Section::2.0 cybersecurity attacker-methods open-ended"
"[Cybersecurity] What term describes deceptive tactics used to manipulate individuals into revealing sensitive information?","Social engineering.<hr>Metadata: Concept question<br>Rationale: Tests recall of the definition of social engineering as an atomic fact, focusing on a key concept from the source text to build foundational understanding.<br>Reference: Section::2.0","Section::2.0 cybersecurity social-engineering open-ended"
"[Cybersecurity] What is the term for harmful software designed to compromise data or systems?","Malware.<hr>Metadata: Concept question<br>Rationale: Tests recall of the definition of malware as an atomic fact, focusing on a core concept from the source text to reinforce foundational knowledge.<br>Reference: Section::2.0","Section::2.0 cybersecurity malware open-ended"
"[Cybersecurity] What term describes weaknesses in systems or organizations that attackers can exploit?","Vulnerabilities.<hr>Metadata: Concept question<br>Rationale: Tests recall of the definition of vulnerabilities as an atomic fact, focusing on a core concept from the source text to build foundational understanding.<br>Reference: Section::2.0","Section::2.0 cybersecurity vulnerabilities open-ended"
"[Cybersecurity] An employee receives an email claiming urgent account verification is needed and provides a link to enter credentials. This is an example of what type of attack?","Phishing.<hr>Metadata: Scenario question<br>Rationale: Tests application of social engineering concepts by identifying a phishing attack in a scenario, using a distinct context to enhance engagement and reinforce recognition of deceptive tactics.<br>Reference: Section::2.0","Section::2.0 cybersecurity social-engineering phishing open-ended"
"[Cybersecurity] A hacker installs software that locks a company’s files until a ransom is paid. This is an example of what type of malware?","Ransomware.<hr>Metadata: Scenario question<br>Rationale: Tests application of malware concepts by identifying ransomware in a scenario, using a distinct context to reinforce recognition of specific malware types and their impact.<br>Reference: Section::2.0","Section::2.0 cybersecurity malware ransomware open-ended"
"[Cybersecurity] A security team updates software to fix a known exploit before an attack occurs. This is an example of what type of mitigation technique?","Patching.<hr>Metadata: Scenario question<br>Rationale: Tests application of mitigation concepts by identifying patching in a proactive scenario, using a distinct context to reinforce understanding of risk reduction techniques.<br>Reference: Section::2.0","Section::2.0 cybersecurity mitigation patching open-ended"
"[Cybersecurity] An attacker calls an employee pretending to be IT support to gain access to their password. This is an example of what type of social engineering tactic?","Pretexting.<hr>Metadata: Scenario question<br>Rationale: Tests application of social engineering concepts by identifying pretexting in a scenario, using a distinct context to enhance engagement and reinforce recognition of deceptive tactics.<br>Reference: Section::2.0","Section::2.0 cybersecurity social-engineering pretexting open-ended"
"[Cybersecurity] A company trains employees to verify email senders before clicking links. This is an example of what type of mitigation technique?","User training.<hr>Metadata: Scenario question<br>Rationale: Tests application of mitigation concepts by identifying user training in a scenario, using a distinct context to reinforce understanding of proactive defense against social engineering.<br>Reference: Section::2.0","Section::2.0 cybersecurity mitigation user-training open-ended"
