Question,Options,OptionsWithCorrect,CorrectOptions,Tags
"[Cybersecurity] <span style=""display:none;"">QID:MC-001</span> Which term describes a hacker operating with malicious intent?","<li>A. White hat hacker</li><li>B. Gray hat hacker</li><li>C. Red hat hacker</li><li>D. Black hat hacker</li>","<li>A. White hat hacker</li><li>B. Gray hat hacker</li><li>C. Red hat hacker</li><li class=""correct"">D. Black hat hacker</li>","D<hr>Why correct: A black hat hacker operates with malicious intent, synonymous with an unauthorized hacker per the source text.<br>Why incorrect: A (white hat hacker) performs authorized security testing; B (gray hat hacker) operates without authorization but not maliciously; C (red hat hacker) conducts aggressive security testing, not necessarily with malicious intent.<br>Rationale: Tests recognition of the black hat hacker definition, using hacker-related color terms as distractors to challenge understanding and maintain consistency.<br>Metadata: Single-correct<br>Source: Section::2.1","Section::2.1 cybersecurity black-hat-hacker multiple-choice instance-1"
"[Cybersecurity] <span style=""display:none;"">QID:MC-003</span> Which are three types of threat actors most likely to have high levels of funding? (CHOOSE THREE)","<li>A. Nation-state</li><li>B. Unskilled attacker</li><li>C. Hacktivist</li><li>D. Organized crime</li><li>E. Insider threat</li><li>F. Shadow IT</li><li>G. APT</li>","<li class=""correct"">A. Nation-state</li><li>B. Unskilled attacker</li><li>C. Hacktivist</li><li class=""correct"">D. Organized crime</li><li>E. Insider threat</li><li>F. Shadow IT</li><li class=""correct"">G. APT</li>","A, D, G<hr>Why correct: Nation-state actors are supported by government resources, organized crime uses funding for commercial gain, and APTs have high sophistication requiring funding, per Section 2.1 and CompTIA SY0-701 objective 2.1.<br>Why incorrect: B (unskilled attacker) lacks resources; C (hacktivist) is ideologically driven; E (insider threat) is internal without external funding; F (shadow IT) is a practice, not an actor.<br>Rationale: Tests recall of funded threat actor types with plausible distractors from related concepts.<br>Metadata: Multiple-correct<br>Source: Section::2.1","Section::2.1 cybersecurity threat-actors funding multiple-choice instance-1 multiple-correct"
"[Cybersecurity] <span style=""display:none;"">QID:MC-003</span> Which are three types of threat actors most likely to have high levels of funding? (CHOOSE THREE)","<li>A. Shadow IT</li><li>B. Organized crime</li><li>C. Unskilled attacker</li><li>D. Nation-state</li><li>E. Insider threat</li><li>F. APT</li><li>G. Hacktivist</li>","<li>A. Shadow IT</li><li class=""correct"">B. Organized crime</li><li>C. Unskilled attacker</li><li class=""correct"">D. Nation-state</li><li>E. Insider threat</li><li class=""correct"">F. APT</li><li>G. Hacktivist</li>","B, D, F<hr>Why correct: Organized crime uses funding for commercial gain, nation-state actors are government-supported, and APTs require high funding for sophistication, per Section 2.1 and CompTIA SY0-701 objective 2.1.<br>Why incorrect: A (shadow IT) is a practice; C (unskilled attacker) lacks resources; E (insider threat) is internal; G (hacktivist) is ideologically driven.<br>Rationale: Tests recall of funded threat actor types with varied distractors.<br>Metadata: Multiple-correct<br>Source: Section::2.1","Section::2.1 cybersecurity threat-actors funding multiple-choice instance-2 multiple-correct"
"[Cybersecurity] <span style=""display:none;"">QID:MC-003</span> Which are three types of threat actors most likely to have high levels of funding? (CHOOSE THREE)","<li>A. APT</li><li>B. Hacktivist</li><li>C. Organized crime</li><li>D. Shadow IT</li><li>E. Insider threat</li><li>F. Nation-state</li><li>G. Unskilled attacker</li>","<li class=""correct"">A. APT</li><li>B. Hacktivist</li><li class=""correct"">C. Organized crime</li><li>D. Shadow IT</li><li>E. Insider threat</li><li class=""correct"">F. Nation-state</li><li>G. Unskilled attacker</li>","A, C, F<hr>Why correct: APTs require high funding for persistence, organized crime for commercial gain, and nation-state actors for government support, per Section 2.1 and CompTIA SY0-701 objective 2.1.<br>Why incorrect: B (hacktivist) is ideologically driven; D (shadow IT) is a practice; E (insider threat) is internal; G (unskilled attacker) lacks resources.<br>Rationale: Tests recall of funded threat actor types with distinct distractors.<br>Metadata: Multiple-correct<br>Source: Section::2.1","Section::2.1 cybersecurity threat-actors funding multiple-choice instance-3 multiple-correct"
"[Cybersecurity] <span style=""display:none;"">QID:MC-004</span> Which are common threat vectors in cybersecurity? (CHOOSE THREE)","<li>A. Email</li><li>B. Encryption</li><li>C. Short Message Service (SMS)</li><li>D. Patching</li><li>E. Firewall</li><li>F. Auditing</li><li>G. Instant Messaging (IM)</li>","<li class=""correct"">A. Email</li><li>B. Encryption</li><li class=""correct"">C. Short Message Service (SMS)</li><li>D. Patching</li><li>E. Firewall</li><li>F. Auditing</li><li class=""correct"">G. Instant Messaging (IM)</li>","A, C, G<hr>Why correct: Email, SMS, and IM are message-based threat vectors used to deliver attacks like phishing, per Section 2.2 and CompTIA SY0-701 objective 2.2.<br>Why incorrect: B (encryption) secures data; D (patching) fixes vulnerabilities; E (firewall) blocks unauthorized access; F (auditing) tracks activities, none of which are threat vectors.<br>Rationale: Tests recall of message-based threat vectors with distractors from mitigation techniques to challenge differentiation.<br>Metadata: Multiple-correct<br>Source: Section::2.2","Section::2.2 cybersecurity threat-vectors multiple-choice instance-1 multiple-correct"
"[Cybersecurity] <span style=""display:none;"">QID:MC-004</span> Which are common threat vectors in cybersecurity? (CHOOSE THREE)","<li>A. Patching</li><li>B. Email</li><li>C. Encryption</li><li>D. Logging</li><li>E. Short Message Service (SMS)</li><li>F. Access Control</li><li>G. Instant Messaging (IM)</li>","<li>A. Patching</li><li class=""correct"">B. Email</li><li>C. Encryption</li><li>D. Logging</li><li class=""correct"">E. Short Message Service (SMS)</li><li>F. Access Control</li><li class=""correct"">G. Instant Messaging (IM)</li>","B, E, G<hr>Why correct: Email, SMS, and IM are message-based threat vectors for attacks like phishing, per Section 2.2 and CompTIA SY0-701 objective 2.2.<br>Why incorrect: A (patching) fixes vulnerabilities; C (encryption) secures data; D (logging) tracks activities; F (access control) restricts permissions, none of which are threat vectors.<br>Rationale: Tests recall of message-based threat vectors with varied mitigation distractors.<br>Metadata: Multiple-correct<br>Source: Section::2.2","Section::2.2 cybersecurity threat-vectors multiple-choice instance-2 multiple-correct"
"[Cybersecurity] <span style=""display:none;"">QID:MC-004</span> Which are common threat vectors in cybersecurity? (CHOOSE THREE)","<li>A. Monitoring</li><li>B. Firewall</li><li>C. Email</li><li>D. Authentication</li><li>E. Instant Messaging (IM)</li><li>F. Backup</li><li>G. Short Message Service (SMS)</li>","<li>A. Monitoring</li><li>B. Firewall</li><li class=""correct"">C. Email</li><li>D. Authentication</li><li class=""correct"">E. Instant Messaging (IM)</li><li>F. Backup</li><li class=""correct"">G. Short Message Service (SMS)</li>","C, E, G<hr>Why correct: Email, IM, and SMS are message-based threat vectors used in attacks like phishing, per Section 2.2 and CompTIA SY0-701 objective 2.2.<br>Why incorrect: A (monitoring) detects issues; B (firewall) blocks access; D (authentication) verifies identity; F (backup) restores data, none of which are threat vectors.<br>Rationale: Tests recall of message-based threat vectors with distinct security control distractors.<br>Metadata: Multiple-correct<br>Source: Section::2.2","Section::2.2 cybersecurity threat-vectors multiple-choice instance-3 multiple-correct"
"[Cybersecurity] <span style=""display:none;"">QID:MC-005</span> Which are common attack surfaces in a supply chain? (CHOOSE THREE)","<li>A. Managed service providers (MSPs)</li><li>B. Firewalls</li><li>C. Encryption</li><li>D. Vendors</li><li>E. Patching</li><li>F. Auditing</li><li>G. Suppliers</li>","<li class=""correct"">A. Managed service providers (MSPs)</li><li>B. Firewalls</li><li>C. Encryption</li><li class=""correct"">D. Vendors</li><li>E. Patching</li><li>F. Auditing</li><li class=""correct"">G. Suppliers</li>","A, D, G<hr>Why correct: MSPs, vendors, and suppliers are inherent attack surfaces in a supply chain, as they involve external entities that can be exploited, per Section 2.2 and CompTIA SY0-701 objective 2.2.<br>Why incorrect: B (firewalls) blocks unauthorized access; C (encryption) secures data; E (patching) fixes vulnerabilities; F (auditing) tracks activities, none of which are supply chain attack surfaces.<br>Rationale: Tests recall of supply chain attack surfaces with distractors from mitigation techniques to challenge differentiation.<br>Metadata: Multiple-correct<br>Source: Section::2.2","Section::2.2 cybersecurity supply-chain attack-surfaces multiple-choice instance-1 multiple-correct"
"[Cybersecurity] <span style=""display:none;"">QID:MC-005</span> Which are common attack surfaces in a supply chain? (CHOOSE THREE)","<li>A. Patching</li><li>B. Suppliers</li><li>C. Logging</li><li>D. Access Control</li><li>E. Managed service providers (MSPs)</li><li>F. Monitoring</li><li>G. Vendors</li>","<li>A. Patching</li><li class=""correct"">B. Suppliers</li><li>C. Logging</li><li>D. Access Control</li><li class=""correct"">E. Managed service providers (MSPs)</li><li>F. Monitoring</li><li class=""correct"">G. Vendors</li>","B, E, G<hr>Why correct: Suppliers, MSPs, and vendors are external entities in a supply chain that can be exploited, per Section 2.2 and CompTIA SY0-701 objective 2.2.<br>Why incorrect: A (patching) fixes vulnerabilities; C (logging) tracks activities; D (access control) restricts permissions; F (monitoring) detects issues, none of which are supply chain attack surfaces.<br>Rationale: Tests recall of supply chain attack surfaces with varied mitigation distractors.<br>Metadata: Multiple-correct<br>Source: Section::2.2","Section::2.2 cybersecurity supply-chain attack-surfaces multiple-choice instance-2 multiple-correct"
"[Cybersecurity] <span style=""display:none;"">QID:MC-005</span> Which are common attack surfaces in a supply chain? (CHOOSE THREE)","<li>A. Vendors</li><li>B. Authentication</li><li>C. Suppliers</li><li>D. Backup</li><li>E. Encryption</li><li>F. Managed service providers (MSPs)</li><li>G. Firewall</li>","<li class=""correct"">A. Vendors</li><li>B. Authentication</li><li class=""correct"">C. Suppliers</li><li>D. Backup</li><li>E. Encryption</li><li class=""correct"">F. Managed service providers (MSPs)</li><li>G. Firewall</li>","A, C, F<hr>Why correct: Vendors, suppliers, and MSPs are inherent supply chain attack surfaces due to their external roles, per Section 2.2 and CompTIA SY0-701 objective 2.2.<br>Why incorrect: B (authentication) verifies identity; D (backup) restores data; E (encryption) secures data; G (firewall) blocks access, none of which are supply chain attack surfaces.<br>Rationale: Tests recall of supply chain attack surfaces with distinct security control distractors.<br>Metadata: Multiple-correct<br>Source: Section::2.2","Section::2.2 cybersecurity supply-chain attack-surfaces multiple-choice instance-3 multiple-correct"
