Text,Extra,Tags
"[Cybersecurity] Security control types include {{c1::preventive::type}}, {{c1::detective::type}}, {{c1::corrective::type}}, deterrent.","Start of functional types.<hr>Rationale: Tests recall of the first three functional types in sequence with the prompt as leading cue and specific trailing context (deterrent) to indicate continuation, per updated overlapping cloze guidelines. List is exhaustive per source.<br>Metadata: Multiple-cloze overlapping-cloze<br>Source: Section::1.2",Section::1.2 cybersecurity security-controls overlapping-cloze enumerative instance-1
"[Cybersecurity] Security control types include preventive, {{c1::detective::type}}, {{c1::corrective::type}}, {{c1::deterrent::type}}, compensating, directive.","Middle of functional types.<hr>Rationale: Tests recall of the middle three functional types with leading (preventive) and full trailing context to reduce ambiguity and aid ordered memorization, per updated guidelines. List is exhaustive per source.<br>Metadata: Multiple-cloze overlapping-cloze<br>Source: Section::1.2",Section::1.2 cybersecurity security-controls overlapping-cloze enumerative instance-2
"[Cybersecurity] Security control types include preventive, detective, {{c1::corrective::type}}, {{c1::deterrent::type}}, {{c1::compensating::type}}, directive.","Later functional types.<hr>Rationale: Tests recall of the overlapping middle-late three functional types with leading (preventive, detective) and trailing (directive) context for position awareness, per updated guidelines. List is exhaustive per source.<br>Metadata: Multiple-cloze overlapping-cloze<br>Source: Section::1.2",Section::1.2 cybersecurity security-controls overlapping-cloze enumerative instance-3
"[Cybersecurity] Security control types include preventive, detective, corrective, {{c1::deterrent::type}}, {{c1::compensating::type}}, {{c1::directive::type}}.","End of functional types.<hr>Rationale: Tests recall of the last three functional types with leading (preventive, detective, corrective) context to show completion, per updated guidelines. List is exhaustive per source.<br>Metadata: Multiple-cloze overlapping-cloze<br>Source: Section::1.2",Section::1.2 cybersecurity security-controls overlapping-cloze enumerative instance-4
"[Cybersecurity] The CIRT requires expertise across {{c1::IT::domain}}, {{c1::HR::domain}}, legal, and marketing.","Incident response team domains.<hr>Rationale: Tests recall of the first two CIRT expertise domains while providing the prompt as leading cue and context with the remaining two for continuation, per updated overlapping cloze guidelines. List is exhaustive per source.<br>Metadata: Multiple-cloze overlapping-cloze<br>Source: Section::1.1",Section::1.1 cybersecurity cirt overlapping-cloze enumerative instance-1
"[Cybersecurity] The CIRT requires expertise across IT, {{c1::HR::domain}}, {{c1::legal::domain}}, and marketing.","Incident response team domains.<hr>Rationale: Tests recall of the middle two CIRT expertise domains while providing leading (IT) and trailing (and marketing) context for ordered recall, per updated guidelines. List is exhaustive per source.<br>Metadata: Multiple-cloze overlapping-cloze<br>Source: Section::1.1",Section::1.1 cybersecurity cirt overlapping-cloze enumerative instance-2
"[Cybersecurity] The CIRT requires expertise across IT, HR, {{c1::legal::domain}}, and {{c1::marketing::domain}}.","Incident response team domains.<hr>Rationale: Tests recall of the last two CIRT expertise domains while providing leading (IT, HR) context for completion, per updated guidelines. List is exhaustive per source.<br>Metadata: Multiple-cloze overlapping-cloze<br>Source: Section::1.1",Section::1.1 cybersecurity cirt overlapping-cloze enumerative instance-3
"[Cybersecurity] Risk management includes {{c1::identification::component}}, {{c1::assessment::component}}, mitigation, and monitoring.","Key aspects of risk management.<hr>Rationale: Tests recall of the first two components of risk management while providing the prompt as leading cue and context with the remaining two for continuation, per updated overlapping cloze guidelines. List is exhaustive per source.<br>Metadata: Multiple-cloze overlapping-cloze<br>Source: Section::1.1",Section::1.1 cybersecurity risk-management overlapping-cloze enumerative instance-1
"[Cybersecurity] Risk management includes identification, {{c1::assessment::component}}, {{c1::mitigation::component}}, and monitoring.","Key aspects of risk management.<hr>Rationale: Tests recall of the middle two components of risk management while providing leading (identification) and trailing (and monitoring) context for ordered recall, per updated guidelines. List is exhaustive per source.<br>Metadata: Multiple-cloze overlapping-cloze<br>Source: Section::1.1",Section::1.1 cybersecurity risk-management overlapping-cloze enumerative instance-2
"[Cybersecurity] Risk management includes identification, assessment, {{c1::mitigation::component}}, and {{c1::monitoring::component}}.","Key aspects of risk management.<hr>Rationale: Tests recall of the last two components of risk management while providing leading (identification, assessment) context for completion, per updated guidelines. List is exhaustive per source.<br>Metadata: Multiple-cloze overlapping-cloze<br>Source: Section::1.1",Section::1.1 cybersecurity risk-management overlapping-cloze enumerative instance-3
