Text,Extra,Tags
Cybersecurity practices primarily aim to protect {{c1::information::asset}} and {{c2::systems::asset}}.,Defending key assets.<hr>Rationale: Tests recall of the two primary assets protected by cybersecurity<br>Metadata: Multiple-cloze<br>Source: Section::1.0,Section::1.0 cybersecurity protection cloze enumerative
"[Cybersecurity] The {{c1::CIA triad::concept}} consists of {{c2::Confidentiality::component}}, {{c3::Integrity::component}}, and {{c4::Availability::component}}.",Core security goals.<hr>Rationale: Tests recall of the CIA triad and its individual components<br>Metadata: Multiple-cloze<br>Source: Section::1.1,Section::1.1 cybersecurity cia cloze enumerative
"[Cybersecurity] {{c1::DevSecOps::term}} integrates {{c2::software development::discipline}}, {{c3::security operations::discipline}}, and {{c4::systems operations::discipline}}.",Combination of disciplines for secure software delivery.<hr>Rationale: Tests recall of the DevSecOps definition and its constituent disciplines<br>Metadata: Multiple-cloze<br>Source: Section::1.1,Section::1.1 cybersecurity devsecops cloze enumerative
"[Cybersecurity] The CIRT requires expertise across {{c1::IT::domain}}, {{c1::HR::domain}}, legal, and marketing.",Incident response team domains.<hr>Rationale: Tests recall of the first two CIRT expertise domains while providing context with the remaining two<br>Metadata: Multiple-cloze<br>Source: Section::1.1,Section::1.1 cybersecurity cirt cloze enumerative
"[Cybersecurity] The CIRT requires expertise across IT, {{c1::HR::domain}}, {{c1::legal::domain}}, and marketing.",Incident response team domains.<hr>Rationale: Tests recall of the middle two CIRT expertise domains while providing context with the first and last<br>Metadata: Multiple-cloze<br>Source: Section::1.1,Section::1.1 cybersecurity cirt cloze enumerative
"[Cybersecurity] The CIRT requires expertise across IT, HR, {{c1::legal::domain}}, and {{c1::marketing::domain}}.",Incident response team domains.<hr>Rationale: Tests recall of the last two CIRT expertise domains while providing context with the first two<br>Metadata: Multiple-cloze<br>Source: Section::1.1,Section::1.1 cybersecurity cirt cloze enumerative
"[Cybersecurity] Risk management includes {{c1::identification::component}}, {{c1::assessment::component}}, mitigation, and monitoring.",Key aspects of risk management.<hr>Rationale: Tests recall of the first two components of risk management while providing context with the remaining two<br>Metadata: Multiple-cloze<br>Source: Section::1.1,Section::1.1 cybersecurity risk-management cloze enumerative
"[Cybersecurity] Risk management includes identification, {{c1::assessment::component}}, {{c1::mitigation::component}}, and monitoring.",Key aspects of risk management.<hr>Rationale: Tests recall of the middle two components of risk management while providing context with the first and last<br>Metadata: Multiple-cloze<br>Source: Section::1.1,Section::1.1 cybersecurity risk-management cloze enumerative
"[Cybersecurity] Risk management includes identification, assessment, {{c1::mitigation::component}}, and {{c1::monitoring::component}}.",Key aspects of risk management.<hr>Rationale: Tests recall of the last two components of risk management while providing context with the first two<br>Metadata: Multiple-cloze<br>Source: Section::1.1,Section::1.1 cybersecurity risk-management cloze enumerative
"[Cybersecurity] A proactive approach to security includes {{c1::prevention::aspect}}, {{c2::monitoring::aspect}}, and {{c3::planning::aspect}}.",Key elements of proactive security.<hr>Rationale: Tests recall of the individual aspects of a proactive security approach<br>Metadata: Multiple-cloze<br>Source: Section::1.1,Section::1.1 cybersecurity proactive-security cloze enumerative
[Cybersecurity] Sophisticated attacks use {{c1::common internet tools}} and {{c1::protocols}} to blend with legitimate traffic.,Challenging to detect.<hr>Rationale: Tests recall of the elements used by sophisticated attacks to evade detection<br>Metadata: Multiple-cloze<br>Source: Section::1.1.3,Section::1.1.3 cybersecurity sophisticated-attacks cloze enumerative
"[Cybersecurity] Security controls are classified by primary functional types as {{c1::preventive}}, {{c2::detective}}, and {{c3::corrective}}.",Addressing attack stages.<hr>Rationale: Tests recall of the three primary functional classifications of security controls<br>Metadata: Multiple-cloze<br>Source: Section::1.1.3,Section::1.1.3 cybersecurity security-controls cloze enumerative
"[Cybersecurity] Security controls are classified by implementation as {{c1::managerial}}, {{c2::operational}}, {{c3::technical}}, and {{c4::physical}}.",Based on how they are applied.<hr>Rationale: Tests recall of the four implementation categories of security controls<br>Metadata: Multiple-cloze<br>Source: Section::1.1.3,Section::1.1.3 cybersecurity security-controls cloze enumerative
[Cybersecurity] A Security Operations Center (SOC) monitors and protects {{c1::critical information assets}} across {{c2::business functions}}.,Central security hub.<hr>Rationale: Tests recall of the key assets and scope of an SOC’s responsibilities<br>Metadata: Multiple-cloze<br>Source: Section::1.1.3,Section::1.1.3 cybersecurity soc cloze enumerative
"[Cybersecurity] DevSecOps integrates {{c1::development}}, {{c2::security}}, and {{c3::operations}}.",Collaborative security approach.<hr>Rationale: Tests recall of the three disciplines integrated in DevSecOps<br>Metadata: Multiple-cloze<br>Source: Section::1.1.3,Section::1.1.3 cybersecurity devsecops cloze enumerative
[Cybersecurity] Security operations set up and maintain {{c1::document access controls}} and {{c2::user privilege profiles}} to manage system access.,Access management tasks.<hr>Rationale: Tests recall of two key security professional activities for access control<br>Metadata: Multiple-cloze<br>Source: Section::1.1.3,Section::1.1.3 cybersecurity security-roles cloze enumerative
"[Cybersecurity] If a mandated security control cannot be implemented, it may be replaced with a {{c1::replacement option}}.",Alternative security measures.<hr>Rationale: Tests recall of the alternative approach for mandated security controls<br>Metadata: Single-cloze<br>Source: Section::1.1.3,Section::1.1.3 cybersecurity security-controls cloze
[Cybersecurity] Large organizations employ SOCs because they are {{c1::difficult}} to {{c2::establish}} and {{c3::finance}}.,Resource-intensive security hubs.<hr>Rationale: Tests recall of the reasons SOCs are typically found in large organizations<br>Metadata: Multiple-cloze<br>Source: Section::1.1.3,Section::1.1.3 cybersecurity soc cloze enumerative
"[Cybersecurity] DevOps enables developers and administrators to build, test, and release software {{c1::faster}} and more {{c2::reliably}}.",Collaborative software delivery.<hr>Rationale: Tests recall of the two key outcomes of DevOps collaboration<br>Metadata: Multiple-cloze<br>Source: Section::1.1.3,Section::1.1.3 cybersecurity devops cloze enumerative
[Cybersecurity] Security operations can improve detection by automating tools through {{c1::code}}.,Enhancing security monitoring.<hr>Rationale: Tests recall of the method to enhance security operations detection<br>Metadata: Single-cloze<br>Source: Section::1.1.3,Section::1.1.3 cybersecurity security-roles cloze
[Cybersecurity] Security operations can be conceived of as {{c1::software development projects}} to improve processes.,Conceptual approach to security.<hr>Rationale: Tests recall of the conceptual framework for improving security operations<br>Metadata: Single-cloze<br>Source: Section::1.1.3,Section::1.1.3 cybersecurity security-roles cloze
"[Cybersecurity] Attack tools are widely available, requiring only {{c1::moderate}} technical knowledge to launch an attack.",Accessible attack software.<hr>Rationale: Tests recall of the technical expertise needed for attack tools<br>Metadata: Single-cloze<br>Source: Section::1.1.3,Section::1.1.3 cybersecurity attack-software cloze
[Cybersecurity] Modern attacks can affect millions of computers quickly due to their ability to {{c1::spread}} over the {{c2::internet}}.,Rapid attack propagation.<hr>Rationale: Tests recall of the key characteristic enabling rapid attack spread<br>Metadata: Multiple-cloze<br>Source: Section::1.1.3,Section::1.1.3 cybersecurity attack-scale cloze enumerative
[Cybersecurity] Sophisticated attacks are hard to detect because they blend with {{c1::legitimate traffic}} using common internet tools.,Challenging detection methods.<hr>Rationale: Tests recall of how sophisticated attacks evade detection<br>Metadata: Single-cloze<br>Source: Section::1.1.3,Section::1.1.3 cybersecurity sophisticated-attacks cloze
"[Cybersecurity] Security controls are classified by implementation as {{c1::managerial::category}}, {{c2::operational::category}}, {{c3::technical::category}}, and {{c4::physical::category}}.",Based on how they are applied.<hr>Rationale: Tests recall of the four implementation categories of security controls in a structured enumeration<br>Metadata: Multiple-cloze<br>Source: Section::1.2,Section::1.2 cybersecurity security-controls cloze enumerative
"[Cybersecurity] Security controls are classified by function as {{c1::preventive::type}}, {{c2::detective::type}}, {{c3::corrective::type}}, {{c4::deterrent::type}}, {{c5::compensating::type}}, and {{c6::directive::type}}.",Based on their role in incident management.<hr>Rationale: Tests recall of the six functional types of security controls in a structured enumeration<br>Metadata: Multiple-cloze<br>Source: Section::1.2,Section::1.2 cybersecurity security-controls cloze enumerative
"[Cybersecurity] Security control types include {{c1::preventive::type}}, {{c1::detective::type}}, {{c1::corrective::type}}, ...",Start of functional types.<hr>Rationale: Tests recall of the first three functional types in sequence<br>Metadata: Multiple-cloze<br>Source: Section::1.2,Section::1.2 cybersecurity security-controls cloze enumerative
"[Cybersecurity] Security control types include ..., {{c1::detective::type}}, {{c1::corrective::type}}, {{c1::deterrent::type}}, ...",Middle of functional types.<hr>Rationale: Tests recall of the middle three functional types in sequence<br>Metadata: Multiple-cloze<br>Source: Section::1.2,Section::1.2 cybersecurity security-controls cloze enumerative
"[Cybersecurity] Security control types include ..., {{c1::corrective::type}}, {{c1::deterrent::type}}, {{c1::compensating::type}}, ...",Middle to end of functional types.<hr>Rationale: Tests recall of the next three functional types in sequence<br>Metadata: Multiple-cloze<br>Source: Section::1.2,Section::1.2 cybersecurity security-controls cloze enumerative
"[Cybersecurity] Security control types include ..., {{c1::deterrent::type}}, {{c1::compensating::type}}, {{c1::directive::type}}.",End of functional types.<hr>Rationale: Tests recall of the last three functional types in sequence<br>Metadata: Multiple-cloze<br>Source: Section::1.2,Section::1.2 cybersecurity security-controls cloze enumerative
[Cybersecurity] Access control lists (ACLs) determine {{c1::access permissions::function}} for {{c2::subjects::entity}} to {{c3::resources::target}}.,"Core security mechanism.<hr>Rationale: Tests recall of the key function, entity, and target of access control lists in a concise, atomic format<br>Metadata: Multiple-cloze<br>Source: Section::1.2",Section::1.2 cybersecurity access-control cloze enumerative
[Cybersecurity] The {{c1::Chief Security Officer (CSO)::role}} is responsible for {{c2::information assurance::function}} and {{c3::systems security::function}}.,"Key organizational role.<hr>Rationale: Tests recall of the CSO’s title and its two primary responsibilities in a concise, atomic format<br>Metadata: Multiple-cloze<br>Source: Section::1.2",Section::1.2 cybersecurity security-roles cloze enumerative
