Question,QuestionPlural,Corrects,Distractors,Explanation,Metadata,Tags
Which is a component of the CIA triad?,Which are components of the CIA triad?,Confidentiality||Integrity||Availability,Accountability||Authentication||Authorization||Consistency||Access Control||Identification||Adaptability||Isolation||Assurance||Containment||Anonymity||Accuracy,"Confidentiality ensures data access only for authorized users, Integrity ensures data accuracy, and Availability ensures data is accessible when needed; these are the three components of the CIA triad per Section 1.1.||Accountability tracks user actions; Authentication verifies user identity; Authorization grants access permissions; Consistency ensures uniform data states; Access Control restricts system entry; Identification verifies user identity; Adaptability allows system flexibility; Isolation separates system components; Assurance validates security measures; Containment limits incident impact; Anonymity hides user identity; Accuracy overlaps with Integrity but is not a CIA component.",MC-001,Section::1.1 cybersecurity cia multiple-choice multiple-correct
Which is an implementation category of security controls?,Which are implementation categories of security controls?,Operational||Technical||Managerial||Physical,Governance||Compliance||Monitoring||Encryption||Auditing||Preventive||Detective||Corrective,"Operational, Technical, Managerial, and Physical are implementation categories of security controls, addressing procedural security, technological safeguards, policy management, and physical measures (e.g., locks, cameras), respectively, per Section 1.1.||Governance relates to oversight; Compliance ensures regulation adherence; Monitoring is a security process; Encryption is a technical control; Auditing tracks compliance; Preventive, Detective, and Corrective are functional types of security controls, not implementation categories.",MC-004,Section::1.1 cybersecurity security-controls multiple-choice multiple-correct
Which is a type of security control based on function?,Which are types of security controls based on function?,Preventive||Detective||Corrective||Compensating||Directive||Deterrent,Managerial||Operational||Technical||Physical||Governance||Compliance||Monitoring||Encryption||Auditing||Access Control||Identification||Authentication||Confidentiality||Integrity||Availability,"Preventive, Detective, Corrective, Compensating, Directive, and Deterrent are types of security controls based on function, aiming to prevent incidents, identify and record intrusions, restore systems after incidents, provide alternative measures, enforce rules via policies, and discourage intrusion attempts, respectively, per Section 1.2.2.||Managerial, Operational, Technical, and Physical are implementation categories; Governance relates to oversight; Compliance ensures regulation adherence; Monitoring is a security process; Encryption is a technical control; Auditing tracks compliance; Access Control restricts system entry; Identification verifies user identity; Authentication confirms user credentials; Confidentiality, Integrity, and Availability are core security principles (CIA triad), not functional types of controls.",MC-006,Section::1.2.2 cybersecurity security-controls multiple-choice multiple-correct
Which is a responsibility of the Chief Information Security Officer (CISO)?,Which are responsibilities of the Chief Information Security Officer (CISO)?,Align security with business goals||Oversee security program||Manage security policies,Develop new platforms||Manage budgets||Negotiate vendor contracts||Conduct market analysis,"Aligning security with business goals, overseeing the security program, and managing security policies are core responsibilities of the CISO, focusing on strategic security leadership, per Section 1.2.2.||Developing new platforms is a CTO responsibility; Managing budgets is a CFO responsibility; Negotiating vendor contracts and Conducting market analysis are typically business or procurement roles, not specific to the CISO.",MC-008,Section::1.2.2 cybersecurity security-roles ciso multiple-choice multiple-correct
Which is a responsibility of the Chief Technology Officer (CTO)?,Which are responsibilities of the Chief Technology Officer (CTO)?,Develop new platforms||Drive technology innovation||Align technology with business strategy,Oversee security program||Manage security policies||Conduct financial audits||Negotiate vendor contracts,"Developing new platforms, driving technology innovation, and aligning technology with business strategy are core responsibilities of the CTO, focusing on technological advancement and strategic alignment, per Section 1.2.2.||Overseeing security program and managing security policies are CISO responsibilities; Conducting financial audits is a CFO responsibility; Negotiating vendor contracts is typically a business or procurement role, not specific to the CTO.",MC-010,Section::1.2.2 cybersecurity security-roles cto multiple-choice multiple-correct
Which is a security principle addressed by a security policy?,Which are security principles addressed by a security policy?,Confidentiality||Integrity||Availability,Accountability||Authentication||Authorization||Consistency||Access Control||Auditability||Adaptability,"Confidentiality, Integrity, and Availability are core security principles addressed by a security policy, ensuring data access for authorized users, data accuracy, and data accessibility when needed, respectively, per Section 1.2.2.||Accountability tracks user actions; Authentication verifies user identity; Authorization grants access permissions; Consistency ensures uniform data states; Access Control restricts system entry; Auditability enables tracking for compliance; Adaptability allows system flexibility, none of which are primary principles addressed by a security policy.",MC-012,Section::1.2.2 cybersecurity security-policy multiple-choice multiple-correct
Which is a common type of cyberattack?,Which are common types of cyberattacks?,Phishing||Malware||Social engineering,Patching||Encryption||User training||Firewall,"Phishing, Malware, and Social engineering are common types of cyberattacks, involving deceptive emails to steal information, harmful software to compromise systems, and tactics to manipulate individuals, respectively, per Section 2.0.||Patching fixes vulnerabilities; Encryption secures data; User training educates employees; Firewall blocks unauthorized access, none of which are cyberattacks.",MC-013,Section::2.0 cybersecurity cyberattacks multiple-choice multiple-correct
Which is a common type of malware?,Which are common types of malware?,Ransomware||Spyware||Trojan,Firewall||Antivirus||Encryption||Patching,"Ransomware, Spyware, and Trojan are common types of malware, locking files for ransom, secretly monitoring user activity, and disguising malicious code as legitimate software, respectively, per Section 2.0.||Firewall blocks unauthorized access; Antivirus detects and removes malware; Encryption secures data; Patching fixes vulnerabilities, none of which are types of malware.",MC-015,Section::2.0 cybersecurity malware multiple-choice multiple-correct
Which is a type of social engineering attack?,Which are types of social engineering attacks?,Phishing||Pretexting||Baiting,Ransomware||Spyware||Trojan||Denial of Service,"Phishing, Pretexting, and Baiting are types of social engineering attacks, using deceptive emails to steal information, false scenarios to gain trust, and enticing offers to lure victims, respectively, per Section 2.0.||Ransomware locks files for ransom; Spyware secretly monitors user activity; Trojan disguises malicious code as legitimate software; Denial of Service disrupts system availability, all of which are types of malware or other cyberattacks, not social engineering attacks.",MC-300,Section::2.0 cybersecurity social-engineering multiple-choice multiple-correct
Which is a mitigation technique to recognize suspicious emails?,Which are mitigation techniques to recognize suspicious emails?,User training||Email filtering||Anti-phishing tools,Patching||Encryption||Firewall||Logging||Access Control||Backup||Monitoring||Auditing,"User training educates employees to recognize suspicious emails, Email filtering blocks or flags suspicious emails, and Anti-phishing tools detect phishing attempts, reducing the risk of social engineering attacks like phishing, per Section 2.0.||Patching fixes software vulnerabilities; Encryption secures data; Firewall blocks unauthorized access; Logging records activities; Access Control restricts permissions; Backup restores data; Monitoring detects issues; Auditing tracks compliance, none of which directly address recognizing suspicious emails.",MC-303,Section::2.0 cybersecurity mitigation user-training multiple-choice multiple-correct
