Question,QuestionPlural,Corrects,Distractors,Explanation,Metadata,HasTwoCorrects,HasThreeCorrects,Tags
"[Cybersecurity] Which is a component of the CIA triad?","[Cybersecurity] Which are components of the CIA triad?","Confidentiality||Integrity||Availability","Accountability||Authentication||Authorization||Consistency||Access Control||Identification||Adaptability||Isolation||Assurance||Containment||Anonymity||Accuracy","Confidentiality ensures data access only for authorized users per Section 1.1.||Integrity ensures data accuracy per Section 1.1.||Availability ensures data is accessible when needed per Section 1.1.||Accountability tracks user actions.||Authentication verifies user identity.||Authorization grants access permissions.||Consistency ensures uniform data states.||Access Control restricts system entry.||Identification verifies user identity.||Adaptability allows system flexibility.||Isolation separates system components.||Assurance validates security measures.||Containment limits incident impact.||Anonymity hides user identity.||Accuracy overlaps with Integrity but is not a CIA component.","MC-001","true","true","Section::1.1 cybersecurity cia multiple-choice multiple-correct"
"[Cybersecurity] Which is an implementation category of security controls?","[Cybersecurity] Which are implementation categories of security controls?","Operational||Technical||Managerial||Physical","Governance||Compliance||Monitoring||Encryption||Auditing||Preventive||Detective||Corrective","Operational controls address procedural security per Section 1.1.||Technical controls involve technological safeguards per Section 1.1.||Managerial controls focus on policy management per Section 1.1.||Physical controls include measures like locks and cameras per Section 1.1.||Governance relates to oversight.||Compliance ensures regulation adherence.||Monitoring is a security process.||Encryption is a technical control, not a category.||Auditing tracks compliance.||Preventive controls aim to stop incidents before they occur, a functional type, not an implementation category.||Detective controls identify incidents after they occur, a functional type, not an implementation category.||Corrective controls restore systems after incidents, a functional type, not an implementation category.","MC-004","true","true","Section::1.1 cybersecurity security-controls multiple-choice multiple-correct"
"[Cybersecurity] Which is a type of security control based on function?","[Cybersecurity] Which are types of security controls based on function?","Preventive||Detective||Corrective||Compensating||Directive||Deterrent","Managerial||Operational||Technical||Physical||Governance||Compliance||Monitoring||Encryption||Auditing||Access Control||Identification||Authentication||Confidentiality||Integrity||Availability","Preventive controls aim to stop incidents before they occur per Section 1.2.2.||Detective controls identify and record intrusions per Section 1.2.2.||Corrective controls restore systems after incidents per Section 1.2.2.||Compensating controls provide alternative measures when primary controls fail per Section 1.2.2.||Directive controls enforce rules via policies per Section 1.2.2.||Deterrent controls discourage intrusion attempts per Section 1.2.2.||Managerial is an implementation category, not a functional type.||Operational is an implementation category, not a functional type.||Technical is an implementation category, not a functional type.||Physical is an implementation category, not a functional type.||Governance relates to oversight.||Compliance ensures regulation adherence.||Monitoring is a security process.||Encryption is a technical control, not a functional type.||Auditing tracks compliance.||Access Control restricts system entry.||Identification verifies user identity.||Authentication confirms user credentials.||Confidentiality is a CIA triad principle, not a functional type.||Integrity is a CIA triad principle, not a functional type.||Availability is a CIA triad principle, not a functional type.","MC-006","true","true","Section::1.2.2 cybersecurity security-controls multiple-choice multiple-correct"
"[Cybersecurity] Which is a responsibility of the Chief Information Security Officer (CISO)?","[Cybersecurity] Which are responsibilities of the Chief Information Security Officer (CISO)?","Align security with business goals||Oversee security program||Manage security policies","Develop new platforms||Manage budgets||Negotiate vendor contracts||Conduct market analysis","Aligning security with business goals is a core responsibility of the CISO, focusing on strategic security leadership per Section 1.2.2.||Overseeing the security program is a core responsibility of the CISO, focusing on strategic security leadership per Section 1.2.2.||Managing security policies is a core responsibility of the CISO, focusing on strategic security leadership per Section 1.2.2.||Develop new platforms is a CTO responsibility, not a CISO role.||Manage budgets is a CFO responsibility, not a CISO role.||Negotiate vendor contracts is typically a business or procurement role, not specific to the CISO.||Conduct market analysis is typically a business or procurement role, not specific to the CISO.","MC-008","true","true","Section::1.2.2 cybersecurity security-roles ciso multiple-choice multiple-correct"
"[Cybersecurity] Which is a responsibility of the Chief Technology Officer (CTO)?","[Cybersecurity] Which are responsibilities of the Chief Technology Officer (CTO)?","Develop new platforms||Drive technology innovation||Align technology with business strategy","Oversee security program||Manage security policies||Conduct financial audits||Negotiate vendor contracts","Developing new platforms is a core responsibility of the CTO, focusing on technological advancement and strategic alignment per Section 1.2.2.||Driving technology innovation is a core responsibility of the CTO, focusing on technological advancement and strategic alignment per Section 1.2.2.||Aligning technology with business strategy is a core responsibility of the CTO, focusing on technological advancement and strategic alignment per Section 1.2.2.||Oversee security program is a CISO responsibility, not a CTO role.||Manage security policies is a CISO responsibility, not a CTO role.||Conduct financial audits is a CFO responsibility, not a CTO role.||Negotiate vendor contracts is typically a business or procurement role, not specific to the CTO.","MC-010","true","true","Section::1.2.2 cybersecurity security-roles cto multiple-choice multiple-correct"
"[Cybersecurity] Which is a security principle addressed by a security policy?","[Cybersecurity] Which are security principles addressed by a security policy?","Confidentiality||Integrity||Availability","Accountability||Authentication||Authorization||Consistency||Access Control||Auditability||Adaptability","Confidentiality ensures data access for authorized users per Section 1.2.2.||Integrity ensures data accuracy per Section 1.2.2.||Availability ensures data is accessible when needed per Section 1.2.2.||Accountability tracks user actions.||Authentication verifies user identity.||Authorization grants access permissions.||Consistency ensures uniform data states.||Access Control restricts system entry.||Auditability enables tracking for compliance.||Adaptability allows system flexibility.","MC-012","true","true","Section::1.2.2 cybersecurity security-policy multiple-choice multiple-correct"
"[Cybersecurity] Which is a common type of cyberattack?","[Cybersecurity] Which are common types of cyberattacks?","Phishing||Malware||Social engineering","Patching||Encryption||User training||Firewall","Phishing involves deceptive emails to steal information per Section 2.0.||Malware is harmful software to compromise systems per Section 2.0.||Social engineering uses tactics to manipulate individuals per Section 2.0.||Patching fixes vulnerabilities, not a cyberattack.||Encryption secures data, not a cyberattack.||User training educates employees, not a cyberattack.||Firewall blocks unauthorized access, not a cyberattack.","MC-013","true","true","Section::2.0 cybersecurity cyberattacks multiple-choice multiple-correct"
"[Cybersecurity] Which is a common type of malware?","[Cybersecurity] Which are common types of malware?","Ransomware||Spyware||Trojan","Firewall||Antivirus||Encryption||Patching","Ransomware locks files for ransom per Section 2.0.||Spyware secretly monitors user activity per Section 2.0.||Trojan disguises malicious code as legitimate software per Section 2.0.||Firewall blocks unauthorized access.||Antivirus detects and removes malware.||Encryption secures data.||Patching fixes vulnerabilities.","MC-015","true","true","Section::2.0 cybersecurity malware multiple-choice multiple-correct"
"[Cybersecurity] Which is a type of social engineering attack?","[Cybersecurity] Which are types of social engineering attacks?","Phishing||Pretexting||Baiting","Ransomware||Spyware||Trojan||Denial of Service","Phishing uses deceptive emails to steal information per Section 2.0.||Pretexting uses false scenarios to gain trust per Section 2.0.||Baiting uses enticing offers to lure victims per Section 2.0.||Ransomware locks files for ransom, a type of malware, not social engineering.||Spyware secretly monitors user activity, a type of malware, not social engineering.||Trojan disguises malicious code as legitimate software, a type of malware, not social engineering.||Denial of Service disrupts system availability, a type of cyberattack but not social engineering.","MC-300","true","true","Section::2.0 cybersecurity social-engineering multiple-choice multiple-correct"
"[Cybersecurity] Which is a mitigation technique to recognize suspicious emails?","[Cybersecurity] Which are mitigation techniques to recognize suspicious emails?","User training||Email filtering||Anti-phishing tools","Patching||Encryption||Firewall||Logging||Access Control||Backup||Monitoring||Auditing","User training educates employees to recognize suspicious emails, reducing the risk of social engineering attacks like phishing per Section 2.0.||Email filtering blocks or flags suspicious emails, reducing the risk of social engineering attacks like phishing per Section 2.0.||Anti-phishing tools detect phishing attempts, reducing the risk of social engineering attacks like phishing per Section 2.0.||Patching fixes software vulnerabilities, which does not directly address recognizing suspicious emails.||Encryption secures data, which does not directly address recognizing suspicious emails.||Firewall blocks unauthorized access, which does not directly address recognizing suspicious emails.||Logging records activities, which does not directly address recognizing suspicious emails.||Access Control restricts permissions, which does not directly address recognizing suspicious emails.||Backup restores data, which does not directly address recognizing suspicious emails.||Monitoring detects issues, which does not directly address recognizing suspicious emails.||Auditing tracks compliance, which does not directly address recognizing suspicious emails.","MC-303","true","true","Section::2.0 cybersecurity mitigation user-training multiple-choice multiple-correct"
