Front,Back,Tags
[Cybersecurity] What do cybersecurity practices primarily aim to defend?,Information and systems.<hr>Metadata: Concept question<br>Rationale: Tests recall of the primary targets of cybersecurity protection<br>Reference: Section::1.0,Section::1.0 cybersecurity protection open-ended
[Cybersecurity] What is the primary goal of information security?,To protect information and systems.<hr>Metadata: Concept question<br>Rationale: Tests recall of the core objective of information security<br>Reference: Section::1.1,Section::1.1 cybersecurity information-security open-ended
[Cybersecurity] What is the primary role of a Security Operations Center (SOC)?,To monitor and protect assets.<hr>Metadata: Concept question<br>Rationale: Tests recall of the SOC’s core function in a concise manner<br>Reference: Section::1.1,Section::1.1 cybersecurity soc open-ended
[Cybersecurity] What is the primary responsibility of a Computer Incident Response Team (CIRT)?,To handle incident response.<hr>Metadata: Concept question<br>Rationale: Tests recall of the CIRT’s core function<br>Reference: Section::1.1,Section::1.1 cybersecurity cirt open-ended
[Cybersecurity] What is the definition of integrity in security?,Ensuring data accuracy.<hr>Metadata: Definition question<br>Rationale: Tests recall of the core concept of integrity in the CIA triad<br>Reference: Section::1.1,Section::1.1 cybersecurity integrity open-ended
[Cybersecurity] What is the definition of non-repudiation in security?,Preventing denial of actions.<hr>Metadata: Definition question<br>Rationale: Tests recall of the core concept of non-repudiation in cybersecurity<br>Reference: Section::1.1,Section::1.1 cybersecurity non-repudiation open-ended
[Cybersecurity] A system checks that data entered in a database has not been altered during transmission. Is this an example of integrity or non-repudiation?,Integrity<hr>Metadata: Scenario question<br>Rationale: Tests understanding of integrity by identifying a scenario involving data accuracy<br>Reference: Section::1.1,Section::1.1 cybersecurity integrity non-repudiation open-ended
[Cybersecurity] A digital signature verifies that a user sent a specific email. Is this an example of integrity or non-repudiation?,Non-repudiation<hr>Metadata: Scenario question<br>Rationale: Tests understanding of non-repudiation by identifying a scenario involving proof of action<br>Reference: Section::1.1,Section::1.1 cybersecurity integrity non-repudiation open-ended
[Cybersecurity] A hash function verifies that a file has not been modified after download. Is this an example of integrity or non-repudiation?,Integrity<hr>Metadata: Scenario question<br>Rationale: Tests understanding of integrity by identifying a scenario involving data accuracy verification<br>Reference: Section::1.1,Section::1.1 cybersecurity integrity non-repudiation open-ended
[Cybersecurity] A timestamped log confirms that a user accessed a system at a specific time. Is this an example of integrity or non-repudiation?,Non-repudiation<hr>Metadata: Scenario question<br>Rationale: Tests understanding of non-repudiation by identifying a scenario involving proof of user action<br>Reference: Section::1.1,Section::1.1 cybersecurity integrity non-repudiation open-ended
